names,release_year,maturity_rating,duration,description,genre,mood,cast,subtitles,audio
Saaho,2019,U/A 16+ ,2h 51m,"In a fictional megalopolis, a stunning underworld theft triggers a fierce power struggle among the gangsters, with an enigmatic cop on their trail.","['Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure']",Exciting,"['Prabhas', 'Shraddha Kapoor', 'Jackie Shroff', 'Chunky Pandey', 'Neil Nitin Mukesh', 'Arun Vijay', 'Vennela Kishore', 'Murli Sharma', 'Lal', 'Prakash Belawadi', 'Mahesh Manjrekar', 'Tinnu Anand']",['English'],['Hindi [Original]']
Baaghi,2016,A ,2h 7m,A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival.,"['Martial Arts Movies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure']",Exciting,"['Tiger Shroff', 'Shraddha Kapoor', 'Sudheer Babu', 'Paras Arora', 'Sunil Grover', 'Sourav Chakraborty', 'Shaurya Bhardawaj']",['English'],['Hindi [Original]']
Blackhat,2015,A ,2h 13m,"In exchange for his freedom, an imprisoned hacker agrees to help government agents track down the terrorist behind an explosion at a nuclear power plant.","['US Movies', 'Action & Adventure', 'Dramas']","Suspenseful,","['Chris Hemsworth', 'Wang Leehom', 'Tang Wei', 'Viola Davis', 'Ritchie Coster', 'Holt McCallany', 'Andy On', 'Christian Borle', 'John Ortiz', 'Yorick van Wageningen']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Sooryavanshi,2021,U/A 16+ ,2h 23m,"A fearless, faithful (and only slightly forgetful) Mumbai cop pulls out all the stops — and stunts — to thwart a major conspiracy to attack his city.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Action & Adventure']",Exciting,"['Akshay Kumar', 'Katrina Kaif', 'Abhimanyu Singh', 'Gulshan Grover', 'Kumud Mishra', 'Jackie Shroff', 'Jaaved Jaaferi', 'Mrunal Jain']","['English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original],', 'Kannada,', 'Malayalam,', 'Tamil,', 'Telugu']"
ATHENA,2022,A ,1h 37m,"The tragic killing of a young boy ignites an all-out war in the community of Athena, with the victim’s older brothers at the heart of the conflict.","['Action & Adventure', 'Dramas']","Violent,","['Dali Benssalah', 'Sami Slimane', 'Anthony Bajon', 'Ouassini Embarek', 'Alexis Manenti']","['English,', 'English,', 'European Spanish,', 'Spanish,', 'Spanish,', 'French']","['English,', 'Spanish - Audio Description,', 'Spanish,', 'French - Audio Description,', 'French [Original],', 'Hindi,', 'Telugu']"
The Old Guard,2020,A ,2h 5m,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,"['US Movies', 'Movies Based on Books', 'Action & Adventure']","Gritty,","['Charlize Theron', 'KiKi Layne', 'Marwan Kenzari', 'Luca Marinelli', 'Harry Melling', 'Van Veronica Ngo', 'Matthias Schoenaerts', 'Chiwetel Ejiofor']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
Constantine,2005,U/A 16+ ,2h,"A chain-smoking, world-weary demon hunter helps a cop investigate her sister's death, plunging them into a plot involving the forces of heaven and hell.","['US Movies', 'Movies Based on Books', 'Action & Adventure']",,"['Keanu Reeves', 'Rachel Weisz', 'Shia LaBeouf', 'Djimon Hounsou', 'Max Baker', 'Pruitt Taylor Vince', 'Gavin Rossdale', 'Tilda Swinton', 'Peter Stormare', 'Jesse Ramirez']",['English'],['English [Original]']
Gabbar Is Back,2015,A ,2h 7m,"After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Action & Adventure', 'Dramas']",Exciting,"['Akshay Kumar', 'Shruthi Haasan', 'Sunil Grover', 'Kareena Kapoor', 'Ishita Vyas', 'Suman Talwar', 'Jaideep Ahlawat', 'Shruti Bapna']",['English'],['Hindi [Original]']
Kalagathalaivan,2022,A ,2h 19m,A brilliant corporate whistleblower's plan to bring down a shady company turns perilous when a cold-blooded hitman is hired to hunt him down.,['Action & Adventure'],"Violent,","['Udhayanidhi Stalin', 'Nidhhi Agerwal', 'Kalaiyarasan', 'Arav', 'Jeeva Ravi', 'Anupama Kumar', 'R.J. Vigneshkanth', 'Angana Roy', 'Akshitha Ravindran', 'Shan', 'Sanjay Saravanan', 'Praveen']","['English,', 'Hindi']","['Kannada,', 'Malayalam,', 'Tamil [Original],', 'Telugu']"
Miss Bala,2019,U/A 13+ ,1h 44m,"While visiting Tijuana, a woman is forced to work for both a ruthless cartel and a DEA agent in order to save her kidnapped friend.","['US Movies', 'Crime Movies', 'Action & Adventure']","Gritty,","['Gina Rodriguez', 'Ismael Cruz Cordova', 'Matt Lauria', 'Ricardo Abarca', 'Cristina Rodlo', 'Sebastián Cano', 'Damián Alcázar', 'Anthony Mackie', 'Aislinn Derbez', 'Lilian Guadalupe Tapia Robles']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
An Action Hero,2022,U/A 16+ ,2h 8m,"A murder accusation turns a movie star's own life into an eccentric action thriller as he flees the country, with a vengeful politician hot on his heels.","['Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies']","Offbeat,","['Ayushmann Khurrana', 'Jaideep Ahlawat', 'Neeraj Madhav', 'Harsh Chhaya', 'Gautum Joglekar', 'Vaquar Shaikh', 'Sumit Singh', 'Jitendra Hooda']","['English,', 'Hindi']",['Hindi [Original]']
Force 2,2016,A ,2h 3m,"An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest.","['Spy Movies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure']","Adrenaline Rush,","['John Abraham', 'Sonakshi Sinha', 'Tahir Raj Bhasin', 'Narendra Jha', 'Adil Hussain', 'Vikram Kapadia', 'Patricia Hittler', ""Genelia D'Souza"", 'Raj Babbar', 'Freddy Daruwala', 'Boman Irani']",['English'],['Hindi [Original]']
Tenet,2020,U/A 13+ ,2h 30m,An undercover agent must retrieve a mysterious and powerful weapon in order to stop a temporal war that could destroy the world.,"['Spy Movies', 'Sci-Fi Movies', 'Action & Adventure']","Mind-Bending,","['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Kenneth Branagh', 'Dimple Kapadia', 'Michael Caine']",['English'],"['English [Original],', 'Hindi']"
Codename: Tiranga,2022,U/A 16+ ,2h 14m,"Tasked with capturing a wanted criminal, a fierce undercover agent wrestles with perilously high stakes when her heart is pulled into the mission.","['Spy Movies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure']",Exciting,"['Parineeti Chopra', 'Harrdy Sandhu', 'Sharad Kelkar', 'Dibyendu Bhattacharya', 'Rajit Kapoor', 'Shishir Sharma', 'Sabyasachi Chakraborty', 'Deesh Mariwala']","['English,', 'Hindi']",['Hindi [Original]']
Mission: Impossible - Ghost Protocol,2011,U/A 13+ ,2h 14m,Super-agent Ethan Hunt and his team take on another deadly mission to prove their innocence when they are framed for bombing the Kremlin.,"['Spy Movies', 'US Movies', 'Action & Adventure']","Suspenseful,","['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Paula Patton', 'Michael Nyqvist', 'Vladimir Mashkov', 'Josh Holloway', 'Anil Kapoor', 'Léa Seydoux']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Jack Reacher: Never Go Back,2016,A ,1h 59m,"When he learns that his friend has been accused of murder, Jack Reacher suspects a vast conspiracy -- and soon finds himself on the run alongside her.","['US Movies', 'Movies Based on Books', 'Crime Movies', 'Action & Adventure']","Adrenaline Rush,","['Tom Cruise', 'Cobie Smulders', 'Aldis Hodge', 'Danika Yarosh', 'Patrick Heusinger', 'Holt McCallany', 'Robert Knepper', 'Judd Lormand', 'Christopher Berry', 'Hunter Burke']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Bad Boys for Life,2020,A ,2h 4m,"Even bad boys grow up, and Miami cop Marcus is ready for his well-deserved retirement — until partner Mike is targeted by a cutthroat drug cartel.","['US Movies', 'Crime Movies', 'Action & Adventure', 'Comedies']",Exciting,"['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Kate del Castillo', 'Alexander Ludwig', 'Charles Melton', 'Paola Núñez', 'Nicky Jam', 'Joe Pantoliano', 'Jacob Scipio']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Snake Eyes: G.I. Joe Origins,2021,U/A 13+ ,2h 2m,"Taken in by an ancient clan, strong-willed warrior Snake Eyes trains to become the ultimate weapon to strike down the deadly Cobra organization.","['Sci-Fi Movies', 'US Movies', 'Action & Adventure']","Dark,","['Henry Golding', 'Andrew Koji', 'Úrsula Corberó', 'Samara Weaving', 'Iko Uwais', 'Haruka Abe', 'Takehiro Hira', 'Peter Mensah', 'James Hiroyuki Liao']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Barbie Mermaid Power,2022,U ,1h 6m,"Brooklyn Barbie and Malibu Barbie — plus Skipper, Stacie and Chelsea — transform into mermaids to help save Pacifica in this underwater adventure.","['US Movies', 'Children & Family Movies']",,"['America Young', 'Tatiana Varria', 'Kirsten Day', 'Tiana Camacho', 'Melanie Minichino', 'Madelyn Kratzer', 'Johnny Yong Bosch', 'Vivian Lu', 'Natalie Lashkari', 'Cassandra Lee Morris']","['English,', 'Hindi,', 'Polish']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Mumbai Mafia: Police vs The Underworld,2022,U/A 16+ ,1h 27m,"In 1990s Mumbai, a crime boss and his network wield unchecked power over the city — until the rise of ""encounter cops,"" who brazenly kill their targets.","['Documentaries', 'True Crime Documentaries', 'Crime Movies']","Gritty,",[],['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
Ek Villain Returns,2022,U/A 16+ ,2h 7m,"When a singer goes missing amid a serial killing spree, a cabbie and a businessman’s son cross paths in a twisted tale where good and evil is blurred.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Thriller Movies']",Dark,"['John Abraham', 'Arjun Kapoor', 'Disha Patani', 'Tara Sutaria', 'J.D. Chakravarthi', 'Shaad Randhawa', 'Bharat Dabholkar', 'Ivan Rodrigues']","['English,', 'Hindi']",['Hindi [Original]']
CBI 5: The Brain,2022,U/A 13+ ,2h 42m,"When a political leader's sudden death sets off a baffling case for police, it's up to ace detective Sethurama Iyer to unravel the mystery.","['Mysteries', 'Crime Movies', 'Dramas', 'Thriller Movies']",Exciting,"['Mammootty', 'Soubin Shahir', 'Jagathy Sreekumar', 'Mukesh', 'Saikumar', 'Anoop Menon', 'Renji Panicker', 'Asha Sarath', 'Ansiba Hassan', 'Dileesh Pothan']","['English,', 'Spanish,', 'Hindi']","['Hindi,', 'Malayalam [Original],', 'Tamil,', 'Telugu']"
The Elephant Whisperers,2022,U/A 7+ ,40m,"Bomman and Bellie, a couple in south India, devote their lives to caring for an orphaned baby elephant named Raghu, forging a family like no other.","['Documentaries', 'Science & Nature Docs', 'Nature & Ecology Documentaries', 'Children & Family Movies']",Heartfelt,[],"['English,', 'English,', 'Tamil']","['English,', 'Hindi,', 'Tamil - Audio Description,', 'Tamil [Original],', 'Telugu']"
Honeymoon,2022,U/A 13+ ,2h 11m,A newlywed couple's honeymoon in London turns into a hilariously chaotic trip when the pair's clueless family crashes the romantic getaway.,['Comedies'],Sentimental,"['Gippy Grewal', 'Jasmin Bhasin', 'Nirmal Rishi', 'Sardar Sohi', 'Karamjit Anmol', 'Harby Sangha', 'Seema Kaushal', 'Raj Dhaliwal']","['English,', 'Hindi']",['Punjabi [Original]']
DSP (Hindi),2022,U/A 13+ ,2h 23m,"Forced into exile after an encounter with a ruthless don, a young man returns as a police officer to exact revenge on his nemesis.","['Crime Movies', 'Action & Adventure', 'Comedies', 'Dramas']",Exciting,"['Vijay Sethupathi', 'Anukreethy Vas', 'Prabhakar', 'Pugazh', 'Ilavarasu', 'G. Gnanasambandam', 'Deepa Shankar', 'Singampuli']",['English'],['Hindi']
Bhool Bhulaiyaa 2,2022,U/A 13+ ,2h 21m,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Horror Movies']","Offbeat,","['Tabu', 'Kartik Aaryan', 'Kiara Advani', 'Rajpal Yadav', 'Sanjay Mishra', 'Ashwini Kalsekar', 'Rajesh Sharma', 'Amar Upadhyay']","['English,', 'Hindi']",['Hindi [Original]']
Slumberland,2022,U/A 7+ ,2h,"Joined by a larger-than-life outlaw, a daring young orphan journeys through a land of dreams to find a precious pearl that will grant her greatest wish.","['Family Features', 'US Movies', 'Children & Family Movies']",Exciting,"['Jason Momoa', 'Marlow Barkley', ""Chris O'Dowd"", 'Kyle Chandler', 'Weruche Opia', 'India de Beaufort', 'Humberly González']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Tamil,', 'Telugu']"
The Sea Beast,2022,U/A 7+ ,1h 59m,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters — and make history to boot.","['Family Features', 'US Movies', 'Children & Family Movies']","Heartfelt,","['Karl Urban', 'Zaris-Angel Hator', 'Jared Harris', 'Marianne Jean-Baptiste', 'Dan Stevens']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
Lady Chatterley's Lover,2022,A ,2h 7m,Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.,"['US Movies', 'Period Pieces', 'Movies Based on Books', 'Dramas', 'Romantic Movies']","Steamy,","['Emma Corrin', ""Jack O'Connell"", 'Matthew Duckett', 'Faye Marsay', 'Ella Hunt', 'Joely Richardson']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
Don,2022,U/A 13+ ,2h 43m,"Seeking a sense of purpose, a wayward college student navigates life on campus while enduring a controlling father and a disciplinarian professor.","['Comedies', 'Dramas']","Feel-Good,","['Sivakarthikeyan', 'S. J. Suryah', 'Samuthirakani', 'Priyanka Arul Mohan', 'Soori', 'Munishkanth', 'Kaali Venkat', 'Bala Saravanan', 'Sivaangi Krishnakumar', 'Gautham Vasudev Menon']",['English'],"['Kannada,', 'Malayalam,', 'Tamil [Original],', 'Telugu']"
The Teacher,2022,U/A 16+ ,1h 53m,A physical education teacher navigates the brutal aftermath of a sexual assault as she grapples with her husband’s indifference and a thirst for revenge.,"['Dramas', 'Thriller Movies']",,"['Amala Paul', 'Hakkim Shah', 'Chemban Vinod Jose', 'Manju Pillai', 'I.M. Vijayan', 'Prashanth Murali', 'Anumol', 'Shajeer P Basheer']",['English'],"['Kannada,', 'Malayalam [Original],', 'Tamil,', 'Telugu']"
Double XL,2022,U/A 13+ ,2h 5m,"Relentlessly shamed for their weight, two women head to London to prove that the size of their dreams is the only one that matters.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas']",Feel-Good,"['Sonakshi Sinha', 'Huma Qureshi', 'Zaheer Iqbal', 'Mahat Raghavendra', 'Shubha Khote', 'Kanwaljeet Singh', 'Alka Badola Kaushal', 'Sachin Shroff']","['English,', 'Hindi']",['Hindi [Original]']
Thallumaala,2022,U/A 16+ ,2h 26m,"Waseem is young, carefree and often drawn to fights. But when love blooms with a star vlogger, the impact of his fists could have disastrous effects.","['Action & Adventure', 'Comedies']",Offbeat,"['Tovino Thomas', 'Kalyani Priyadarshan', 'Shine Tom Chacko', 'Lukman Lukku', 'Swathi Das Prabhu', 'Binu Pappu', 'Gokulan', 'Chemban Vinod Jose']","['English,', 'Spanish,', 'Hindi']",['Malayalam [Original]']
Call Me Chihiro,2023,U/A 16+ ,2h 11m,"An unapologetic former sex worker starts working at a bento stand in a small seaside town, bringing comfort to the lonely souls who come her way.",['Dramas'],"Understated,","['Kasumi Arimura', 'Hana Toyoshima', 'Tetta Shimada', 'van', 'Ryuya Wakaba', 'Yui Sakuma', 'Itsuki Nagasawa', 'Miwako Ichikawa', 'Keiichi Suzuki', 'Toshie Negishi', 'Mitsuru Hirata', 'Lily Franky', 'Jun Fubuki']","['English,', 'English,', 'French,', 'Japanese']","['English,', 'Japanese - Audio Description,', 'Japanese [Original]']"
Jersey,2022,U/A 13+ ,2h 48m,"Ten years after quitting cricket, a gifted but dejected ex-batsman pursues a spot on the national team, hoping to fulfill his son's wish for a jersey.","['Hindi-Language Movies', 'Bollywood Movies', 'Dramas', 'Sports Movies']",Emotional,"['Shahid Kapoor', 'Mrunal Thakur', 'Pankaj Kapur', 'Ronit Kamra', 'Anjum Batra', 'Gitika Mahendru', 'Abhishek Madrecha']","['English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original]']"
Goodbye,2022,U/A 13+ ,2h 21m,"After a mother's sudden death, chaos and grief collide when four adult siblings return to their traditional father's home for the funeral.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas']","Quirky,","['Amitabh Bachchan', 'Rashmika Mandanna', 'Neena Gupta', 'Pavail Gulati', 'Sunil Grover', 'Ashish Vidyarthi', 'Elli Avram', 'Sahil Mehta', 'Shivin Narang', 'Abhishek Khan']","['English,', 'Hindi']",['Hindi [Original]']
The Soccer Football Movie,2022,U/A 7+ ,1h 13m,Four young soccer superfans team up to help their idols regain their abilities after a scheming evil scientist steals their talent.,"['US Movies', 'Children & Family Movies', 'Comedies', 'Sports Movies']","Quirky,","['Zlatan Ibrahimović', 'Megan Rapinoe', 'Weird Al Yankovic']","['English,', 'Polish']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Strays,2023,U/A 16+ ,1h 37m,A woman's meticulously crafted life of privilege starts to unravel when two strangers show up in her quaint suburban town.,"['Dramas', 'Thriller Movies']",Ominous,"['Ashley Madekwe', 'Jorden Myrie', 'Bukky Bakray', 'Samuel Small', 'Maria Almeida', 'Justin Salinger']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
Gangubai Kathiawadi,2022,U/A 16+ ,2h 33m,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.","['Hindi-Language Movies', 'Movies Based on Books', 'Dramas']",Provocative,"['Alia Bhatt', 'Vijay Raaz', 'Seema Pahwa', 'Ajay Devgn', 'Jim Sarbh', 'Chhaya Kadam', 'Shantanu Maheshwari', 'Indira Tiwari']","['English,', 'Hindi']","['Hindi [Original],', 'Telugu']"
We Have a Ghost,2023,U/A 13+ ,2h 7m,"After finding a ghost with a murky past haunting their new house, a family becomes internet sensations — and the targets of a shadowy government agency.","['Family Features', 'US Movies', 'Teen Movies', 'Movies Based on Books', 'Comedies', 'Horror Movies']","Heartfelt,","['David Harbour', 'Anthony Mackie', ""Jahi Di'Allo Winston"", 'Tig Notaro', 'Erica Ash', 'Jennifer Coolidge', 'Faith Ford', 'Niles Fitch', 'Isabella Russo', 'Steve Coulter']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Tamil,', 'Telugu']"
Nanpakal Nerathu Mayakkam,2023,U/A 13+ ,1h 47m,"In this Malayalam-Tamil drama, an irritable James wakes up on a bus believing he is Sundaram, a man who disappeared from a quiet village years ago.",['Dramas'],Intimate,"['Mammootty', 'Ramya Suvi', 'Ramya Pandian', 'T. Suresh Babu', 'Rajesh Sharma', 'Poo Ramu']",['English'],"['Hindi,', 'Malayalam [Original],', 'Telugu']"
Mili,2022,U/A 16+ ,2h 6m,"After she's accidentally trapped in a walk-in freezer at work, a young woman fights to stay alive as her father and boyfriend launch a search for her.","['Hindi-Language Movies', 'Bollywood Movies', 'Thriller Movies']",Suspenseful,"['Janhvi Kapoor', 'Sunny Kaushal', 'Manoj Pahwa', 'Rajesh Jais', 'Vikram Kochhar', 'Anurag Arora', 'Hasleen Kaur', 'Sanjay Suri']","['English,', 'Hindi']",['Hindi [Original]']
Darlings,2022,U/A 16+ ,2h 14m,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Thriller Movies']",Offbeat,"['Alia Bhatt', 'Shefali Shah', 'Vijay Varma', 'Roshan Mathew', 'Rajesh Sharma', 'Vijay Maurya', 'Kiran Karmarkar', 'Pooja Swaroop', 'Santosh Juvekar']","['English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original]']"
Minions & More Volume 2,2022,U/A 7+ ,53m,"Catch animated shorts like ""Phil’s Dance Party"" and ""Binky Nelson Unpacified"" in this compilation from the company behind the ""Despicable Me"" franchise.","['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']","Goofy,","['Pierre Coffin', 'Reese Witherspoon', 'Jenny Slate', 'Patton Oswalt', 'John C. Reilly', 'Michael Keaton', 'Allison Janney', 'Tara Strong', 'Laraine Newman', 'Danny DeVito', 'Ed Helms']",['English'],['English [Original]']
Raw (Hindi),2022,U/A 16+ ,2h 36m,A jaded former intelligence agent is pulled back into action when an attack at a mall creates a tense hostage situation.,['Action & Adventure'],,"['Vijay', 'Pooja Hegde']",['English'],['Hindi']
An Inconvenient Love,2022,U/A 13+ ,2h 2m,"Two young lovers agree to a casual relationship, but this convenient arrangement grows complicated as their romance reaches an expiration date.","['Romantic Comedies', 'Comedies', 'Romantic Movies']","Swoonworthy,","['Belle Mariano', 'Donny Pangilinan', 'JC Alcantara', 'Jeffrey Quizon', 'Matet de Leon', 'Adrian Lindayag', 'Iana Bernardez', 'Sheenly Gener']","['English,', 'Filipino']",['Filipino [Original]']
Kantara (Hindi),2022,U/A 16+ ,2h 27m,"A fiery young man clashes with an unflinching forest officer in a south Indian village where spirituality, fate and folklore rule the lands.",['Action & Adventure'],"Ominous,","['Rishab Shetty', 'Kishore Kumar G.', 'Achyuth Kumar', 'Sapthami Gowda', 'Manasi Sudhir', 'Prakash Tuminadu', 'Shanil Guru', 'Pramod Shetty', 'Deepak Rai Panaje', 'Ranjan']","['English,', 'Hindi']","['English,', 'Hindi']"
All Quiet on the Western Front,2022,A ,2h 28m,"When 17-year-old Paul joins the Western Front in World War I, his initial excitement is soon shattered by the grim reality of life in the trenches.","['Period Pieces', 'Movies Based on Books', 'Dramas']","Violent,","['Felix Kammerer', 'Albrecht Schuch', 'Aaron Hilmer', 'Moritz Klaus', 'Edin Hasanović', 'Thibault de Montalembert', 'Daniel Brühl', 'Devid Striesow', 'Adrian Grünewald', 'Andreas Döhler', 'Jakob Schmidt', 'Friedrich Berger', 'Michael Wittenborn']","['German,', 'English,', 'English,', 'Turkish,', 'Turkish']","['German - Audio Description,', 'German [Original],', 'English - Audio Description,', 'English,', 'Hindi,', 'Turkish']"
Toolsidas Junior,2022,U/A 7+ ,2h 10m,"A young boy seeks to master the game of snooker to defend his father’s legacy after a humiliating loss. But first, he’ll need help from a hardened pro.","['Family Features', 'Hindi-Language Movies', 'Bollywood Movies', 'Children & Family Movies', 'Dramas', 'Sports Movies']","Heartfelt,","['Sanjay Dutt', 'Varun Buddhadev', 'Rajiv Kapoor', 'Tasveer Kamil', 'Chinmay Chandraunshuh', 'Dalip Tahil', 'Barun Chanda', 'Ankur Vikal', 'Badrul Islam', 'Don Ray']","['English,', 'Hindi']",['Hindi [Original]']
Major (Telugu),2022,U/A 16+ ,2h 25m,"This biopic follows the life of Indian Army officer Major Sandeep Unnikrishnan, from his childhood to his heroic actions during the 2008 Mumbai attacks.","['Movies Based on Real Life', 'Action & Adventure', 'Dramas']","Bittersweet,","['Adivi Sesh', 'Prakash Raj', 'Sobhita Dhulipala', 'Saiee Manjrekar', 'Revathi', 'Murli Sharma']",['English'],['Telugu [Original]']
Roald Dahl's Matilda The Musical,2022,U/A 7+ ,1h 56m,An extraordinary girl with a sharp mind and a vivid imagination takes a daring stand to change her story — with miraculous results. Meet Matilda.,"['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies']",Quirky,"['Alisha Weir', 'Emma Thompson', 'Lashana Lynch', 'Stephen Graham', 'Andrea Riseborough', 'Sindhu Vee']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Dog Gone,2023,U/A 7+ ,1h 35m,"When his beloved dog goes missing, a young man embarks on an incredible search with his parents to find him and give him life-saving medication.","['Family Features', 'Movies Based on Real Life', 'US Movies', 'Teen Movies', 'Movies Based on Books', 'Children & Family Movies', 'Dramas']","Inspiring,","['Rob Lowe', 'Johnny Berchtold', 'Kimberly Williams-Paisley', 'Nick Peine']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
HIT: The First Case,2022,A ,2h 12m,"Burdened by old demons, a troubled but brilliant detective sets out to solve two confounding abduction cases — one involving his own girlfriend.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Thriller Movies']","Dark,","['Rajkummar Rao', 'Sanya Malhotra', 'Dalip Tahil', 'Milind Gunaji', 'Shilpa Shukla', 'Sanjay Narvekar', 'Akhil Iyer', 'Nuveksha', 'Jatin Goswami', 'Rose Khan']","['English,', 'Hindi']",['Hindi [Original]']
Shabaash Mithu,2022,U/A 13+ ,2h 34m,"From child prodigy to trailblazing captain, sports icon Mithali Raj navigates the highs and lows of professional cricket in this coming-of-age drama.","['Movies Based on Real Life', 'Hindi-Language Movies', 'Bollywood Movies', 'Dramas', 'Sports Movies']","Heartfelt,","['Taapsee Pannu', 'Vijay Raaz', 'Geeta Agrawal Sharma', 'Inayat Verma', 'Kasturi Jagnam', 'Mumtaz Sorcar', 'Shilpi Marwaha', 'Sampa Mandal']","['English,', 'Hindi']","['Hindi [Original],', 'Tamil,', 'Telugu']"
Purple Hearts,2022,U/A 16+ ,2h 2m,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.","['Music', 'US Movies', 'Dramas', 'Romantic Movies']","Sentimental,","['Sofia Carson', 'Nicholas Galitzine', 'Chosen Jacobs', 'Kat Cunning', 'Linden Ashby', 'Anthony Ippolito', 'John Harlan Kim', 'Sarah Rich', 'Scott Deckert', 'Loren Escandon']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil']"
Love Today,2022,U/A 16+ ,2h 32m,"Before they get married, a couple must swap phones for 24 hours at the behest of the bride-to-be's suspicious father.","['Romantic Comedies', 'Comedies', 'Dramas', 'Romantic Movies']","Quirky,","['Pradeep Ranganathan', 'Ivana', 'Yogi Babu', 'Radhika', 'Raveena Ravi', 'Sathyaraj']",['English'],['Tamil [Original]']
Enola Holmes 2,2022,U/A 13+ ,2h 10m,"Enola takes on her first official case as a detective, but to solve the mystery of a missing girl, she'll need help from friends — and brother Sherlock.","['Mysteries', 'Family Features', 'US Movies', 'Period Pieces', 'Movies Based on Books', 'Action & Adventure', 'Dramas']","Witty,","['Millie Bobby Brown', 'Henry Cavill', 'David Thewlis', 'Louis Partridge', 'Helena Bonham Carter', 'Susan Wokoma', 'Adeel Akhtar', 'Sharon Duncan-Brewster']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
